gameId,rowId,matchId,seasonId,gameVersion,gameMode,gameType,queueId,teamId,gameDuration,win,participantId,role,tier,rank,kills,deaths,assists,championId,minionsKilled,champLevel,wardsPlaced,goldEarned,goldSpent,visionScore,totalDamageDealt,largestMultiKill,teamFirstBlood,teamFirstTowerKill,teamFirstInhibitor,teamFirstBaron,teamFirstDragon,teamFirstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
3234334144,22,2,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,2555,True,3,MIDDLE,GOLD,II,24,8,9,245,221,18,6,23114,17325,27,275479,1,True,False,True,False,True,False,11,3,1,5,0
3234334144,23,2,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,2555,True,4,BOTTOM,UNRANKED,N/A,1,13,19,16,39,18,40,11868,10525,97,41366,1,True,False,True,False,True,False,11,3,1,5,0
3234334144,24,2,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,2555,True,5,BOTTOM,GOLD,I,13,16,8,145,236,18,16,20071,18875,40,285923,4,True,False,True,False,True,False,11,3,1,5,0
3234334144,25,2,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,2555,False,6,JUNGLE,PLATINUM,IV,21,9,15,28,60,18,3,19302,17350,26,215091,2,False,True,False,True,False,False,2,0,1,1,0
3234334144,26,2,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,2555,False,7,TOP,SILVER,II,11,5,10,22,259,18,9,16733,16725,21,274581,1,False,True,False,True,False,False,2,0,1,1,0
3234334144,27,2,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,2555,False,8,BOTTOM,DIAMOND,IV,7,6,29,267,21,17,28,13330,10825,77,33752,1,False,True,False,True,False,False,2,0,1,1,0
3234334144,28,2,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,2555,False,9,MIDDLE,PLATINUM,I,8,14,13,246,189,18,13,13901,13500,18,169639,1,False,True,False,True,False,False,2,0,1,1,0
3234334144,29,2,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,2555,False,10,BOTTOM,DIAMOND,IV,9,13,18,523,210,17,3,15664,14800,5,223329,2,False,True,False,True,False,False,2,0,1,1,0
3234484827,30,3,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1515,False,1,JUNGLE,PLATINUM,IV,3,8,4,5,14,11,6,7168,6475,9,87946,2,True,True,False,False,True,False,1,0,0,2,0
3234484827,31,3,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1515,False,2,MIDDLE,GOLD,III,2,8,3,157,153,13,2,8296,8175,3,108980,1,True,True,False,False,True,False,1,0,0,2,0
3234484827,32,3,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1515,False,3,TOP,SILVER,II,2,6,4,111,87,12,8,6452,6325,14,61606,1,True,True,False,False,True,False,1,0,0,2,0
3234484827,33,3,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1515,False,4,BOTTOM,PLATINUM,IV,7,3,4,22,144,13,7,11140,11200,17,111579,2,True,True,False,False,True,False,1,0,0,2,0
