gameId,summonerId,seasonId,gameVersion,gameMode,gameType,queueId,teamId,gameDuration,win,participantId,role,tier,rank,kills,deaths,assists,championId,minionsKilled,champLevel,wardsPlaced,goldEarned,goldSpent,visionScore,totalDamageDealt,largestMultiKill,teamFirstBlood,teamFirstTowerKill,teamFirstInhibitor,teamFirstBaron,teamFirstDragon,teamFirstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
3235173757,-BDoLKBS9h5X3WdCKARJdkcpnxqkS80WCFSQlruS4GXbUMs,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1957,True,7,TOP,GOLD,III,7,7,15,111,189,16,10,13059,12225,19,157613,1,False,False,True,False,False,False,8,2,1,1,0
3235173757,KMkK6d1vgGoQNIFT_JpQcEm8HU8rgUGKBQYDP7g0tuur9ew,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1957,True,8,MIDDLE,PLATINUM,III,27,4,1,238,212,17,4,21385,20150,11,212071,2,False,False,True,False,False,False,8,2,1,1,0
3235173757,u-jlDa6FCGjzLsQkiFjFDnahK44QIeda4YCYfavH5H1bHGA,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1957,True,9,BOTTOM,GOLD,II,1,4,22,350,7,15,13,8836,7610,29,14050,1,False,False,True,False,False,False,8,2,1,1,0
3235173757,lm6vrUJNnychtUT8UF-_SJekyRiNC4FITNg6DUs1-n4m4AU,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1957,True,10,BOTTOM,GOLD,IV,3,11,12,81,143,15,3,10838,10350,6,124254,2,False,False,True,False,False,False,8,2,1,1,0
3235158507,slgLrRzVXeW4_TUY1prx9zvzCgjkYXXwmFpgOz6GiMTrcGg,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1421,False,1,TOP,UNRANKED,N/A,2,6,2,8,50,11,6,5900,5600,11,34633,1,True,False,False,False,True,False,0,0,0,1,0
3235158507,kHk0FrUheSs-2RhZnEV638IKxhx03VN_r-bXHYjt9ZZFdSQ,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1421,False,2,BOTTOM,UNRANKED,N/A,1,9,7,235,19,10,7,5591,5475,24,13014,1,True,False,False,False,True,False,0,0,0,1,0
3235158507,uQsGr8Fqaxdm2yA3L120VROFHy4Gc-rb8-9ivhorOptvHtU,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1421,False,3,JUNGLE,DIAMOND,IV,5,8,6,64,9,12,8,8603,8425,15,111034,1,True,False,False,False,True,False,0,0,0,1,0
3235158507,4AyApOwkKwcdd7DtNZDk9BwI_GpZVvONVrSfeAFchXUMVkE,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1421,False,4,MIDDLE,GOLD,I,4,7,2,22,140,12,8,8089,7825,19,80402,1,True,False,False,False,True,False,0,0,0,1,0
3235158507,ObLbpn81IcYnQU1npML2l4Tz-1Vjcmve4fp7MO-3RjUezpU,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,100,1421,False,5,TOP,GOLD,II,3,7,1,238,145,13,6,7317,7000,16,69815,1,True,False,False,False,True,False,0,0,0,1,0
3235158507,fr2Shn1t_K2_anbR7fHgwdRr2zVyX5R73u00Non31z2l_HY,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1421,True,6,MIDDLE,UNRANKED,N/A,4,2,5,45,135,14,4,8944,8100,6,98206,1,False,True,True,False,False,True,10,2,0,3,1
